ID,Nome,Sobrenome,Nome Completo,Idade,Time,Valor,Overall,Força,Resistencia,Velocidade,Força de vontade,Criatividade,Machucado,Posição,Liderança,Tempo De Recuperação
86,Lucca, Costa,Lucca Costa,25,Atlético-MG,5888,50,7,26,74,48,96,Sim,Defesa,Não,5
17,Marcos, Andrade,Marcos Andrade,35,Fluminense,5912,37,38,3,91,36,18,Sim,Libero,Sim,2
13,Marcos, Fernandes,Marcos Fernandes,37,Fluminense,3459,56,76,69,42,55,42,Não,Gol,Sim,0
11,Matheus, Oliveira,Matheus Oliveira,17,São Paulo,5556,56,69,95,46,39,33,Não,Gol,Não,0
27,Miguel, Barbosa,Miguel Barbosa,25,Athletico-PR,8732,64,44,72,11,100,96,Sim,Defesa,Não,9
28,Miguel, Gonçalves,Miguel Gonçalves,28,Flamengo,9623,57,44,85,64,69,26,Sim,Meio,Não,1
16,Miguel, Gonçalves,Miguel Gonçalves,18,Bahia,7508,47,36,68,45,64,23,Não,Libero,Sim,0
1,Miguel, Gonçalves,Miguel Gonçalves,20,Bahia,3324,46,21,89,84,27,13,Não,Defesa,Não,0
74,Murilo, Cardoso,Murilo Cardoso,29,Santos,7767,66,62,56,25,98,89,Sim,Libero,Sim,6
47,Murilo, Freitas,Murilo Freitas,36,Santos,8162,57,20,79,91,38,57,Sim,Gol,Sim,8
69,Murilo, Gomes,Murilo Gomes,16,Atlético-MG,1943,50,34,29,54,97,38,Não,Libero,Sim,0
42,Murilo, Santana,Murilo Santana,30,Cuiabá,7599,63,84,58,80,62,35,Sim,Meio,Não,9
10,Nicolas, Andrade,Nicolas Andrade,38,Palmeiras,9234,21,36,17,25,2,29,Sim,Defesa,Sim,12
94,Nicolas, Lopes,Nicolas Lopes,16,Atlético-MG,9730,58,87,15,87,96,9,Sim,Gol,Sim,12
75,Nicolas, Oliveira,Nicolas Oliveira,34,São Paulo,3831,50,99,36,15,100,1,Sim,Libero,Não,4
31,Pedro, Andrade,Pedro Andrade,38,Fortaleza,8828,47,36,83,54,36,29,Não,Ataque,Não,0
63,Pedro, Fernandes,Pedro Fernandes,33,Cruzeiro,3669,68,56,91,78,20,98,Sim,Ataque,Não,5
12,Pedro, Ferreira,Pedro Ferreira,23,Internacional,6805,55,49,97,51,9,69,Sim,Defesa,Sim,9
99,Pedro, Gonçalves,Pedro Gonçalves,38,Vasco,1338,48,31,35,75,35,65,Sim,Ataque,Sim,4
60,Pedro, Gonçalves,Pedro Gonçalves,25,Cruzeiro,4954,69,79,9,67,92,99,Não,Libero,Sim,0
54,Pedro, Oliveira,Pedro Oliveira,16,Flamengo,6528,39,22,57,2,59,59,Sim,Meio,Não,12
39,Pedro, Silva,Pedro Silva,32,Athletico-PR,5238,48,82,63,21,24,53,Não,Gol,Não,0
80,Pedro, Teixeira,Pedro Teixeira,38,São Paulo,6123,56,77,56,28,50,69,Não,Defesa,Não,0
46,Pietro, Nunes,Pietro Nunes,17,Corinthians,3374,44,17,93,9,74,31,Não,Meio,Não,0
65,Pietro, Vieira,Pietro Vieira,23,Bahia,7574,49,48,62,90,35,10,Sim,Defesa,Sim,5
78,Rafael, Gonçalves,Rafael Gonçalves,29,Bragantino,1169,60,86,56,97,12,50,Não,Ataque,Não,0
67,Rafael, Machado,Rafael Machado,25,São Paulo,7107,64,85,99,22,70,46,Não,Defesa,Não,0
88,Rafael, Teixeira,Rafael Teixeira,22,Cruzeiro,4240,50,97,14,25,72,46,Sim,Ataque,Sim,8
68,Samuel, Almeida,Samuel Almeida,25,Corinthians,1163,49,92,69,11,39,37,Sim,Defesa,Não,1
72,Samuel, Santos,Samuel Santos,19,São Paulo,5441,26,50,3,30,49,2,Não,Defesa,Não,0
97,Samuel, Silva,Samuel Silva,29,Bahia,1518,44,43,82,20,67,10,Sim,Defesa,Sim,3
2,Samuel, Soares,Samuel Soares,25,América-MG,2866,30,81,15,10,43,2,Não,Ataque,Não,0
84,Thiago, Cardoso,Thiago Cardoso,39,São Paulo,1352,55,3,100,54,38,81,Não,Defesa,Não,0
21,Thiago, Ferreira,Thiago Ferreira,26,Athletico-PR,9794,57,31,71,65,60,60,Sim,Defesa,Sim,6
22,Thiago, Nunes,Thiago Nunes,21,Fluminense,6766,58,43,51,99,13,85,Sim,Ataque,Sim,5
71,Thiago, Ribeiro,Thiago Ribeiro,30,Goiás,5194,23,18,23,1,9,68,Sim,Meio,Sim,6
85,Vinicius, Fernandes,Vinicius Fernandes,36,Palmeiras,8679,40,54,2,95,16,33,Sim,Gol,Não,4
40,Vinicius, Mendes,Vinicius Mendes,16,Internacional,4115,36,81,18,38,36,8,Sim,Ataque,Não,9
56,Vinicius, Rocha,Vinicius Rocha,36,Atlético-MG,6704,54,75,80,59,55,4,Não,Defesa,Sim,0
24,Vinicius, Rodrigues,Vinicius Rodrigues,22,Vasco,1878,62,94,68,88,36,27,Sim,Defesa,Sim,12
0,Vitor, Ferreira,Vitor Ferreira,19,Atlético-MG,4863,67,91,69,84,54,37,Sim,Libero,Não,2
25,Vitor, Marques,Vitor Marques,39,Corinthians,5865,58,45,81,3,88,77,Não,Gol,Não,0
29,Vitor, Rocha,Vitor Rocha,27,Palmeiras,5264,52,37,94,29,77,25,Sim,Libero,Não,9
