ID,Nome,Sobrenome,Nome Completo,Idade,Time,Valor,Overall,Força,Resistencia,Velocidade,Força de vontade,Criatividade,Machucado,Posição,Liderança,Tempo De Recuperação
5,Marcos, Moreira,Marcos Moreira,31,Flamengo,4837,85,76,93,97,93,66,Sim,Meio,Sim,6
48,Marcos, Ribeiro,Marcos Ribeiro,18,Bahia,9983,49,10,92,89,22,34,Não,Meio,Não,0
6,Matheus, Costa,Matheus Costa,18,Botafogo,8247,50,53,64,26,77,34,Não,Libero,Não,0
9,Matheus, Dias,Matheus Dias,29,Corinthians,2972,47,5,51,82,88,10,Sim,Ataque,Não,5
27,Matheus, Fernandes,Matheus Fernandes,17,Grêmio,7042,45,84,33,30,53,26,Sim,Meio,Sim,11
74,Matheus, Ferreira,Matheus Ferreira,37,Internacional,7333,67,91,58,51,42,95,Não,Ataque,Não,0
95,Matheus, Rocha,Matheus Rocha,27,Atlético-MG,7132,42,76,6,5,66,60,Não,Ataque,Sim,0
96,Miguel, Cardoso,Miguel Cardoso,32,Fortaleza,2692,65,71,86,71,39,58,Sim,Meio,Não,11
55,Miguel, Rocha,Miguel Rocha,20,América-MG,2740,40,5,53,58,21,66,Sim,Defesa,Sim,5
81,Murilo, Alves,Murilo Alves,21,Grêmio,7224,35,33,14,4,40,84,Não,Gol,Não,0
10,Murilo, Alves,Murilo Alves,24,Coritiba,8730,40,53,31,40,12,65,Sim,Defesa,Não,4
0,Murilo, Marques,Murilo Marques,39,Internacional,3564,68,84,75,83,83,15,Sim,Ataque,Sim,12
86,Murilo, Santos,Murilo Santos,31,Vasco,1227,58,12,96,43,96,44,Sim,Libero,Não,1
89,Nicolas, Pereira,Nicolas Pereira,23,São Paulo,9873,52,57,75,77,35,16,Não,Libero,Sim,0
40,Pedro, Alves,Pedro Alves,26,Cruzeiro,6420,43,59,5,19,93,39,Não,Defesa,Sim,0
42,Pedro, Costa,Pedro Costa,35,Atlético-MG,9501,68,92,31,62,75,82,Não,Gol,Não,0
22,Pietro, Andrade,Pietro Andrade,28,São Paulo,8928,69,100,75,42,89,41,Sim,Meio,Sim,6
78,Pietro, Costa,Pietro Costa,36,Cuiabá,3225,44,15,81,19,26,82,Não,Libero,Não,0
93,Pietro, Ferreira,Pietro Ferreira,32,Botafogo,3812,20,4,25,29,35,9,Não,Gol,Não,0
35,Pietro, Lopes,Pietro Lopes,35,Goiás,1520,32,86,55,4,4,12,Não,Meio,Não,0
29,Pietro, Nunes,Pietro Nunes,38,Bragantino,6170,49,31,2,59,78,76,Sim,Defesa,Sim,8
64,Rafael, Alves,Rafael Alves,30,Coritiba,3422,36,60,14,31,56,21,Sim,Gol,Não,3
8,Rafael, Lopes,Rafael Lopes,21,Corinthians,3156,27,15,33,9,14,64,Não,Libero,Sim,0
47,Rafael, Oliveira,Rafael Oliveira,40,Palmeiras,6675,46,15,16,79,55,68,Sim,Ataque,Não,1
79,Rafael, Pereira,Rafael Pereira,16,Cuiabá,7304,77,63,59,99,68,100,Não,Meio,Não,0
88,Samuel, Andrade,Samuel Andrade,36,Grêmio,1434,52,5,85,99,16,59,Não,Meio,Não,0
83,Samuel, Lima,Samuel Lima,27,Bragantino,6205,32,35,22,54,20,30,Não,Ataque,Sim,0
52,Thiago, Machado,Thiago Machado,20,Botafogo,8625,53,97,47,65,35,21,Não,Defesa,Sim,0
18,Thiago, Martins,Thiago Martins,33,Bahia,5678,55,6,65,85,96,24,Sim,Defesa,Não,11
57,Vinicius, Lopes,Vinicius Lopes,28,Botafogo,3469,50,45,78,15,96,18,Sim,Ataque,Não,11
30,Vitor, Gonçalves,Vitor Gonçalves,23,Corinthians,1656,58,94,39,71,28,58,Sim,Gol,Sim,4
36,Vitor, Martins,Vitor Martins,27,Coritiba,1129,28,6,1,49,14,73,Sim,Defesa,Não,5
13,Vitor, Santos,Vitor Santos,35,Cuiabá,7865,46,70,11,15,94,41,Não,Ataque,Sim,0
